word,coefficient
depression,6.142894011805177
depressed,4.392532970282135
happy,3.1108690939347996
life,2.878914427410806
anymore,2.7779818861198344
sad,2.2026191659679064
suicide,2.157734094292108
dont,2.124024181283117
kill,2.09074307399341
want,2.0710828442029245
cry,1.9180071233850433
nothing,1.9135790257609302
alive,1.789161008079225
lost,1.7861634512219429
wish,1.7838559290926017
suicidal,1.782821720238095
tired,1.7800654068604769
better,1.7322099074838526
bed,1.7114554724316111
hate,1.684306038333315
friend,1.680667774349623
everything,1.6737780494407306
long,1.6396937057278087
ugly,1.579378008149467
chance,1.5559897659600668
die,1.490351283996558
care,1.4483770091127666
antidepressant,1.4275855305342884
shit,1.377329846249133
feel,1.3628477523878868
death,1.3400819115685403
abandoned,1.3291614041108142
suffering,1.3105736461102344
thing,1.3013643514646978
world,1.2878319005498158
wake,1.2687878778752224
born,1.2463039875291582
smiling,1.2385940249306535
cant,1.2175767194072071
happiness,1.194286438556976
spend,1.1912450852439995
live,1.1884670755015314
loved,1.1567436452476627
empty,1.1559219420713602
withdrawal,1.1382885258705968
mum,1.1370543958477466
anything,1.133739129669735
never,1.1298969076188716
sadness,1.1276911512500238
ending,1.1264858430121034
